"Step","With Off-Edge Reset - rollout/ep_rew_mean","With Off-Edge Reset - rollout/ep_rew_mean__MIN","With Off-Edge Reset - rollout/ep_rew_mean__MAX","Without Off-Edge Reset - rollout/ep_rew_mean","Without Off-Edge Reset - rollout/ep_rew_mean__MIN","Without Off-Edge Reset - rollout/ep_rew_mean__MAX"
"153","67.7589111328125","67.7589111328125","67.7589111328125","28.077747344970703","28.077747344970703","28.077747344970703"
"154","49.53208923339844","49.53208923339844","49.53208923339844","33.438541412353516","33.438541412353516","33.438541412353516"
"155","32.67790222167969","32.67790222167969","32.67790222167969","36.89679718017578","36.89679718017578","36.89679718017578"
"156","40.80018997192383","40.80018997192383","40.80018997192383","33.90357971191406","33.90357971191406","33.90357971191406"
"157","27.515628814697266","27.515628814697266","27.515628814697266","38.562862396240234","38.562862396240234","38.562862396240234"
"158","49.51877212524414","49.51877212524414","49.51877212524414","32.85245132446289","32.85245132446289","32.85245132446289"
"159","49.68470764160156","49.68470764160156","49.68470764160156","42.56873321533203","42.56873321533203","42.56873321533203"
"160","50.10295104980469","50.10295104980469","50.10295104980469","40.70920944213867","40.70920944213867","40.70920944213867"
"161","53.21356201171875","53.21356201171875","53.21356201171875","37.46337890625","37.46337890625","37.46337890625"
"162","47.09327697753906","47.09327697753906","47.09327697753906","36.23473358154297","36.23473358154297","36.23473358154297"
"163","48.74154281616211","48.74154281616211","48.74154281616211","37.68387222290039","37.68387222290039","37.68387222290039"
"164","42.96149444580078","42.96149444580078","42.96149444580078","39.20146942138672","39.20146942138672","39.20146942138672"
"165","48.68938064575195","48.68938064575195","48.68938064575195","38.09645080566406","38.09645080566406","38.09645080566406"
"166","66.28264617919922","66.28264617919922","66.28264617919922","38.30473709106445","38.30473709106445","38.30473709106445"
"167","65.16464233398438","65.16464233398438","65.16464233398438","28.950111389160156","28.950111389160156","28.950111389160156"
"168","60.60760498046875","60.60760498046875","60.60760498046875","41.711952209472656","41.711952209472656","41.711952209472656"
"169","42.644981384277344","42.644981384277344","42.644981384277344","39.835540771484375","39.835540771484375","39.835540771484375"
"170","50.28379821777344","50.28379821777344","50.28379821777344","39.372379302978516","39.372379302978516","39.372379302978516"
"171","73.15145111083984","73.15145111083984","73.15145111083984","36.70372009277344","36.70372009277344","36.70372009277344"
"172","55.46734619140625","55.46734619140625","55.46734619140625","38.17143630981445","38.17143630981445","38.17143630981445"
"173","40.733524322509766","40.733524322509766","40.733524322509766","36.23462677001953","36.23462677001953","36.23462677001953"
"174","65.79808807373047","65.79808807373047","65.79808807373047","32.94767379760742","32.94767379760742","32.94767379760742"
"175","58.58637619018555","58.58637619018555","58.58637619018555","39.40495681762695","39.40495681762695","39.40495681762695"
"176","71.24295043945312","71.24295043945312","71.24295043945312","37.029624938964844","37.029624938964844","37.029624938964844"
"177","62.94126510620117","62.94126510620117","62.94126510620117","49.326454162597656","49.326454162597656","49.326454162597656"
"178","50.09434509277344","50.09434509277344","50.09434509277344","33.68186569213867","33.68186569213867","33.68186569213867"
"179","67.72067260742188","67.72067260742188","67.72067260742188","36.6855354309082","36.6855354309082","36.6855354309082"
"180","55.665042877197266","55.665042877197266","55.665042877197266","39.2774772644043","39.2774772644043","39.2774772644043"
"181","68.83020782470703","68.83020782470703","68.83020782470703","31.48134994506836","31.48134994506836","31.48134994506836"
"182","72.31785583496094","72.31785583496094","72.31785583496094","43.7773551940918","43.7773551940918","43.7773551940918"
"183","82.74829864501953","82.74829864501953","82.74829864501953","42.1900749206543","42.1900749206543","42.1900749206543"
"184","67.06150817871094","67.06150817871094","67.06150817871094","35.59341812133789","35.59341812133789","35.59341812133789"
"185","71.3458251953125","71.3458251953125","71.3458251953125","32.91102600097656","32.91102600097656","32.91102600097656"
"186","66.99250793457031","66.99250793457031","66.99250793457031","42.0469856262207","42.0469856262207","42.0469856262207"
"187","59.94316101074219","59.94316101074219","59.94316101074219","36.45518493652344","36.45518493652344","36.45518493652344"
"188","73.3907241821289","73.3907241821289","73.3907241821289","31.362472534179688","31.362472534179688","31.362472534179688"
"189","73.23394775390625","73.23394775390625","73.23394775390625","40.46978759765625","40.46978759765625","40.46978759765625"
"190","60.329315185546875","60.329315185546875","60.329315185546875","33.026611328125","33.026611328125","33.026611328125"
"191","68.83868408203125","68.83868408203125","68.83868408203125","36.738651275634766","36.738651275634766","36.738651275634766"
"192","62.582427978515625","62.582427978515625","62.582427978515625","43.958892822265625","43.958892822265625","43.958892822265625"
"193","69.79291534423828","69.79291534423828","69.79291534423828","39.057430267333984","39.057430267333984","39.057430267333984"
"194","65.28905487060547","65.28905487060547","65.28905487060547","41.886741638183594","41.886741638183594","41.886741638183594"
"195","50.57820129394531","50.57820129394531","50.57820129394531","39.57489013671875","39.57489013671875","39.57489013671875"
"196","76.05441284179688","76.05441284179688","76.05441284179688","38.6584587097168","38.6584587097168","38.6584587097168"
"197","75.01786804199219","75.01786804199219","75.01786804199219","36.64601516723633","36.64601516723633","36.64601516723633"
"198","74.06390380859375","74.06390380859375","74.06390380859375","32.112586975097656","32.112586975097656","32.112586975097656"
"199","81.82389831542969","81.82389831542969","81.82389831542969","41.257713317871094","41.257713317871094","41.257713317871094"
